Altium Designer Pick and Place Locations
C:\Users\Ethan Peterson\Documents\pcb\Debugger\.\gerbers\2020-08-03.csv

========================================================================================================================
File Design Information:

Date:       03-08-20
Time:       18:24
Revision:   7d45f352e53425c7964af86148381991cc3787c7
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"Y1","8MHz ±20ppm 20pF","TopLayer","SMD-5032_2P","450.000","530.000","180","????"
"VR1","AMS1117-3.3","TopLayer","SOT-223","1020.000","1541.890","270","???????(LDO)"
"U1","STM32F103CBT6","TopLayer","LQFP-48_7x7x05P","585.000","890.000","0","ARM"
"R14","100O ±1%","TopLayer","0402_R","761.732","1145.000","180","Chip resistor"
"R13","220O ±1%","TopLayer","0402_R","215.000","1380.000","90","Chip resistor"
"R12","390O ±1%","TopLayer","0603_R","770.000","1255.000","90","Chip resistor"
"R11","100KO ±1%","TopLayer","0402_R","450.000","1540.000","180","Chip resistor"
"R10","1.5KO ±1%","TopLayer","0402_R","478.268","1440.000","180","Chip resistor"
"R9","10KO ±1%","TopLayer","0402_R","155.000","510.000","0","Chip resistor"
"R8","10KO ±1%","TopLayer","0402_R","155.000","575.000","0","Chip resistor"
"R7","0O ±1%","TopLayer","0402_R","925.000","950.000","270","Chip resistor"
"R6","200O ±1%","TopLayer","0402_R","650.000","375.000","270","Chip resistor"
"R5","200O ±1%","TopLayer","0402_R","515.000","375.000","270","Chip resistor"
"R4","100KO ±1%","TopLayer","0402_R","650.000","475.000","360","Chip resistor"
"R3","100KO ±1%","TopLayer","0402_R","320.000","830.000","90","Chip resistor"
"R2","4.7KO ±1%","TopLayer","0805_R","960.000","510.000","90","Chip resistor"
"R1","4.7KO ±1%","TopLayer","0805_R","1085.000","510.000","270","Chip resistor"
"P2","61300411121","TopLayer","61300411121","195.000","1110.000","270","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 4 pins"
"P1","61300411121","TopLayer","61300411121","510.000","1265.000","360","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 4 pins"
"L1","BEAD","TopLayer","0603_L","585.000","1540.000","270","Ferrite Bead"
"J4","M22-2510205","TopLayer","FP-M22-2510205-MFG","100.000","1975.000","270","CONN HEADER VERT 2POS 2MM"
"J3","M22-2510205","TopLayer","FP-M22-2510205-MFG","920.000","760.630","90","CONN HEADER VERT 2POS 2MM"
"J2","67503-1020","TopLayer","MOLX-67503-1020_V","503.386","1816.142","270","USB, MINI, SMD, RA KME04-USBMU03A01"
"J1","M22-2510205","TopLayer","FP-M22-2510205-MFG","145.000","1745.000","0","CONN HEADER VERT 2POS 2MM"
"D4","0603 Blue","TopLayer","0603_LED_S1","215.000","1530.000","90","LED"
"D3","0603 Blue","TopLayer","0603_LED_S1","615.000","1430.000","180","LED"
"D2","0805 Green","TopLayer","0805_LED_S1","650.000","220.000","270","LED"
"D1","0805 Red","TopLayer","0805_LED_S1","515.000","229.961","90","LED"
"CB1","Circuit Breaker","TopLayer","SPST-2","820.000","460.000","90","Circuit Breaker"
"C12","100nF","TopLayer","1206_C","945.000","1930.000","360","Chip capacitors"
"C11","100nF","TopLayer","0402_C","900.000","1295.000","90","Chip capacitors"
"C10","10uF","TopLayer","1206_C","797.500","1612.756","270","Chip capacitors"
"C9","100uF","TopLayer","CASE-B_3528","945.000","1795.000","360","Tantalum capacitor"
"C8","100nF","TopLayer","0402_C","640.000","565.000","180","Chip capacitors"
"C7","100nF","TopLayer","0402_C","458.268","1145.000","360","Chip capacitors"
"C6","100nF","TopLayer","0402_C","720.000","573.268","90","Chip capacitors"
"C5","100nF","TopLayer","0402_C","840.000","990.000","90","Chip capacitors"
"C4","100nF","TopLayer","0402_C","388.268","640.000","0","Chip capacitors"
"C3","100nF","TopLayer","0402_C","320.000","730.000","90","Chip capacitors"
"C2","30pF","TopLayer","0402_C","606.732","640.000","0","Chip capacitors"
"C1","30pF","TopLayer","0402_C","490.000","640.000","180","Chip capacitors"
